t	CO	PV
624	100	57.9330422125182
625	100	57.496360989810775
626	100	57.9330422125182
627	100	57.496360989810775
628	100	58.07860262008734
629	100	57.64192139737991
630	100	58.07860262008734
631	100	57.64192139737991
632	100	58.22416302765648
633	100	57.78748180494905
634	100	58.22416302765648
635	100	57.78748180494905
636	100	57.9330422125182
637	100	58.51528384279476
638	100	57.9330422125182
639	100	58.51528384279476
640	100	58.80640465793304
641	100	58.369723435225616
642	100	58.80640465793304
643	100	58.369723435225616
644	100	58.951965065502186
645	100	58.51528384279476
646	100	58.951965065502186
647	100	58.51528384279476
648	100	59.243085880640464
649	100	58.80640465793304
650	100	59.243085880640464
651	100	58.80640465793304
652	100	58.951965065502186
653	100	59.53420669577875
654	100	58.951965065502186
655	100	59.09752547307132
656	100	59.53420669577875
657	100	59.09752547307132
658	100	59.67976710334789
659	100	59.243085880640464
660	100	59.67976710334789
661	100	59.243085880640464
662	100	59.82532751091703
663	100	59.38864628820961
664	100	59.82532751091703
665	100	59.97088791848617
666	100	59.38864628820961
667	100	59.53420669577875
668	100	59.97088791848617
669	100	59.53420669577875
670	100	60.4075691411936
671	100	59.97088791848617
672	100	60.4075691411936
673	100	59.97088791848617
674	100	60.69868995633188
675	100	60.69868995633188
676	100	60.84425036390102
677	100	60.55312954876273
678	100	60.84425036390102
679	100	60.98981077147016
680	100	60.98981077147016
681	100	60.55312954876273
682	100	61.1353711790393
683	100	61.1353711790393
684	100	60.84425036390102
685	100	61.28093158660844
686	100	61.28093158660844
687	100	60.84425036390102
688	100	60.98981077147016
689	100	61.57205240174672
690	100	60.98981077147016
691	100	61.1353711790393
692	100	61.57205240174672
693	100	61.1353711790393
694	100	61.71761280931587
695	100	61.28093158660844
696	100	61.71761280931587
697	100	61.28093158660844
698	100	61.86317321688501
699	100	61.42649199417758
700	100	61.86317321688501
701	100	61.42649199417758
702	100	62.00873362445415
703	100	61.57205240174672
704	100	62.00873362445415
705	100	61.57205240174672
706	100	62.15429403202329
707	100	61.71761280931587
708	100	62.15429403202329
709	100	61.71761280931587
710	100	62.44541484716157
711	100	62.00873362445415
712	100	62.44541484716157
713	100	62.00873362445415
714	100	62.73653566229986
715	100	62.29985443959243
716	100	62.44541484716157
717	100	62.59097525473072
718	100	62.44541484716157
719	100	62.73653566229986
720	100	62.59097525473072
721	100	62.88209606986899
722	100	63.027656477438136
723	100	63.027656477438136
724	100	62.59097525473072
725	100	63.17321688500728
726	100	62.73653566229986
727	100	63.17321688500728
728	100	62.73653566229986
729	100	63.31877729257642
730	100	62.88209606986899
731	100	63.31877729257642
732	100	62.88209606986899
733	100	63.6098981077147
734	100	63.17321688500728
735	100	63.6098981077147
736	100	63.17321688500728
737	100	63.75545851528384
738	100	63.31877729257642
739	100	63.75545851528384
740	100	63.31877729257642
741	100	63.90101892285298
